id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,realease_year,emotion_tag
1038,Come Alive (feat. Toro y Moi),Chromeo,0.843,0.757,5,-5.633,0,0.038,0.208,8.28E-05,0.0828,0.946,129.934,238479,4,2014,
1039,Black Out Days,Phantogram,0.542,0.795,4,-3.63,0,0.0368,0.00506,0.019,0.0851,0.431,92.234,227160,4,2014,
1040,Like It Is,Kygo,0.794,0.728,1,-6.759,1,0.114,0.121,8.82E-06,0.227,0.36,105.024,183067,4,2020,
1041,Hot In It,Tiësto,0.748,0.841,7,-5.08,1,0.177,0.00445,1.33E-06,0.0413,0.717,123.045,129817,4,2022,
1042,Skechers,DripReport,0.907,0.332,1,-9.828,1,0.0836,0.326,0.0168,0.109,0.277,99.998,106031,4,2020,happy
1043,HÂRD.,Tobe Nwigwe,0.752,0.562,7,-11.379,1,0.347,0.00918,1.35E-06,0.114,0.386,140.03,128893,4,2018,
1044,Lose You To Love Me,Selena Gomez,0.488,0.343,4,-8.985,1,0.0436,0.556,0,0.21,0.0978,102.819,206459,4,2020,
1045,Hospital for Souls,Bring Me The Horizon,0.221,0.773,9,-5.654,0,0.0604,0.00284,0.0057,0.0816,0.0768,132.737,406413,4,2013,
1046,No Sympathy,Jenevieve,0.867,0.673,9,-6.951,1,0.0323,0.186,0.0639,0.101,0.787,115.003,187413,4,2021,
1047,Angels,The xx,0.424,0.157,9,-18.141,1,0.0428,0.95,0.0593,0.101,0.342,91.537,171653,4,2012,
1048,You,Kyson,0.587,0.267,0,-14.936,0,0.0326,0.513,0.0363,0.075,0.0388,115.201,236719,4,2016,
1049,Truth Hurts,Lizzo,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325,4,2019,angry
1050,I Like Me Better,Lauv,0.753,0.505,9,-7.621,1,0.255,0.534,2.58E-06,0.104,0.419,91.972,197437,4,2018,
1051,Meet me in paris,SPEERMINT,0.78,0.381,11,-5.17,1,0.149,0.514,0.823,0.103,0.633,111.98,131073,4,2023,
1052,home for dinner,Flacvih,0.61,0.233,11,-12.998,1,0.0546,0.878,0.947,0.0897,0.398,79.831,133500,4,2022,
1053,Flame Thrower,Apollo Noir,0.595,0.619,11,-9.032,1,0.0329,0.000115,0.909,0.0738,0.271,118.002,155256,4,2020,angry
1054,Everyday We Lit,YFN Lucci,0.761,0.669,7,-4.777,1,0.133,0.132,0,0.0626,0.614,155.968,197933,4,2017,
1055,No Air (feat. Chris Brown),Jordin Sparks,0.466,0.759,8,-4.978,0,0.199,0.0521,0,0.0587,0.328,160.033,264373,4,2007,
1056,Scars To Your Beautiful,Alessia Cara,0.319,0.739,0,-5.74,1,0.272,0.0285,0,0.111,0.449,194.169,230227,4,2016,
1057,XO,John Mayer,0.431,0.377,2,-9.753,1,0.0288,0.749,0,0.211,0.353,173.67,213627,4,2014,
1058,Come On Eileen,Dexys Midnight Runners,0.45,0.656,2,-7.049,1,0.0472,0.664,3.02E-06,0.259,0.782,106.61,287307,4,1982,
1059,BED,Joel Corry,0.671,0.782,6,-4.593,1,0.0341,0.0142,0.00221,0.333,0.618,123.989,178088,4,2021,happy
1060,2am,dutchavelli,0.775,0.841,8,-4.738,1,0.254,0.0549,9.12E-06,0.111,0.568,142.057,128028,4,2020,
1061,Nothing Burns Like The Cold,Snoh Aalegra,0.674,0.468,0,-7.616,1,0.0683,0.182,0.0009,0.0873,0.344,139.69,209912,4,2017,
1062,I Met Sarah in the Bathroom,awfultune,0.675,0.408,0,-10.861,1,0.142,0.901,0.000714,0.16,0.229,90.111,121375,4,2019,
1063,Twilight,Elliott Smith,0.423,0.38,0,-13.112,1,0.0377,0.301,0.00317,0.208,0.479,141.047,269520,4,2004,
1064,"Invite Me, But I'm Not Coming",Jovian,0.52,0.82,3,-8.349,0,0.397,0.487,0,0.062,0.48,139.732,240315,4,2022,
1065,Thinking out Loud,Ed Sheeran,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560,4,2014,
1066,Fading Like A Flower,Roxette,0.701,0.901,5,-4.34,1,0.046,0.018,1.08E-06,0.0665,0.908,121.022,145808,4,2022,
1067,Watch Me Shine,Various Artists,0.837,0.824,6,-4.828,0,0.0508,0.0958,2.52E-06,0.0449,0.915,104.769,195733,4,2001,
1068,Amo Bishop Roden,Boards of Canada,0.585,0.452,8,-14.115,0,0.0371,0.0318,0.905,0.0979,0.294,139.975,376080,4,2000,chill
1069,deja vu,Olivia Rodrigo,0.439,0.61,9,-7.236,1,0.116,0.593,1.07E-05,0.341,0.172,181.088,215508,4,2021,
1070,Singing In The Sun,galaxx,0.757,0.292,10,-15.816,0,0.281,0.781,0.938,0.625,0.56,87.106,165517,4,2022,
1071,Funeralopolis,Electric Wizard,0.188,0.674,11,-6.82,1,0.0493,1.37E-05,0.89,0.113,0.297,125.152,523333,4,2000,angry
1072,If You Love Someone,The Veronicas,0.618,0.806,10,-4.651,1,0.0443,0.00137,1.27E-05,0.297,0.683,97.986,180067,4,2014,happy
1073,snowfall (Slowed + Reverb),Øneheart,0.397,0.0521,9,-29.745,1,0.0313,0.932,0.874,0.229,0.101,77.982,150661,4,2022,
1074,Damn (You’ve Got Me Saying),Galantis,0.665,0.843,5,-3.347,0,0.0354,0.0654,0,0.268,0.845,122.029,195268,4,2022,
1075,Remember That Night?,Sara Kays,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51E-05,0.156,0.554,123.978,227186,4,2020,
1076,Sad Song (feat. Elena Coats),We The Kings,0.512,0.559,1,-5.498,1,0.0253,0.0843,0,0.0696,0.193,85.017,226330,4,2013,
1077,treehouse,kelseydog,0.53,0.0352,3,-24.647,1,0.0487,0.975,0.864,0.104,0.235,144.969,152268,4,2021,
1078,Good as Hell,Lizzo,0.682,0.919,0,-3.18,0,0.0875,0.256,0,0.442,0.535,95.982,159736,4,2019,
1079,I Got Time,Bebe Rexha,0.77,0.639,10,-5.886,0,0.0369,0.139,0,0.0863,0.646,120.036,230236,4,2017,angry
1080,Fare Wells,Zapati_,0.752,0.349,6,-9.415,0,0.0735,0.557,0.903,0.0988,0.519,130.059,138462,4,2022,
1081,DRAINO (feat. Denzel Curry),City Morgue,0.67,0.731,0,-5.474,1,0.0509,0.0601,0,0.216,0.211,115.051,202613,4,2019,angry
1082,Golden,Harry Styles,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,208907,4,2019,
1083,Refuse You,Lavern,0.683,0.71,5,-6.364,1,0.0875,0.0697,0.0519,0.204,0.0994,114.98,135130,4,2023,
1084,ANGELS & DEMONS,jxdn,0.554,0.8,8,-3.936,1,0.0395,0.119,0,0.629,0.463,115.056,160120,4,2020,
1085,Learn to Fly,Lawrence Walther,0.735,0.412,2,-10.938,0,0.0339,0.751,0.831,0.163,0.139,120.022,132510,4,2022,
1086,I'm Still Standing,Elton John,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,183440,4,1983,
1087,Worst Behavior,Drake,0.78,0.799,9,-6.359,1,0.15,0.158,0,0.209,0.414,109.944,270187,4,2013,
1088,Lost My Mind,FiloChill,0.399,0.405,1,-13.174,1,0.0342,0.112,0.747,0.126,0.136,170.081,202010,4,2021,sad
1089,Bandit,Ron Suno,0.808,0.513,8,-10.388,1,0.36,0.00691,1.16E-05,0.0744,0.706,179.999,118000,4,2021,angry
1090,Camelot,NLE Choppa,0.787,0.713,7,-5.252,1,0.401,0.0849,0,0.717,0.761,175.046,148759,4,2019,
1091,12:34 AM,Billy Lemos,0.711,0.473,1,-11.971,1,0.116,0.656,0.0666,0.119,0.32,90.001,127000,4,2017,
1092,Needed Time,Yxng Bane,0.767,0.499,11,-7.819,0,0.133,0.197,2.65E-06,0.194,0.609,104.061,196185,4,2018,
1093,feel the same,Marco Luka,0.487,0.665,2,-5.543,1,0.0447,0.172,7.58E-06,0.11,0.219,77.038,158961,4,2019,
1094,Bets On Us,Cheat Codes,0.52,0.787,8,-4.768,1,0.0536,0.103,0,0.305,0.573,170.059,180960,4,2023,
1095,"it only gets worse, i promise",EKKSTACY,0.43,0.68,7,-7.193,1,0.0421,0.000214,0.000209,0.389,0.359,165.935,154640,4,2021,
1096,Don’t Forget Me,Popcorn Trees,0.915,0.268,1,-10.684,0,0.1,0.626,0.74,0.0913,0.229,89.984,109333,4,2022,chill
1097,Mood Swings (feat. Lil Tjay),Pop Smoke,0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798,213333,4,2020,
1098,Letter 2 U,J.I the Prince of N.Y,0.583,0.465,1,-11.196,1,0.272,0.666,1.92E-06,0.107,0.222,90.812,170592,4,2020,
1099,Happier,Ed Sheeran,0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,207520,4,2017,
1100,Tired,beabadoobee,0.63,0.418,7,-7.111,0,0.0254,0.483,0.15,0.111,0.345,140.037,199515,4,2018,
1101,Say It,Jim Aves,0.771,0.581,11,-12.357,0,0.0518,0.477,0.136,0.138,0.192,112.987,157000,4,2021,
1102,All I Want,Cast of High School Musical: The Musical: The Series,0.376,0.43,0,-6.585,0,0.0328,0.0902,0,0.0912,0.129,77.599,177323,3,2020,
1103,Hear You Me,Jimmy Eat World,0.465,0.517,4,-6.189,1,0.0284,0.00854,0.0403,0.209,0.137,136.176,284373,3,2001,
1104,Ivory,MOVEMENT,0.493,0.431,10,-10.741,0,0.391,0.079,0.499,0.115,0.261,177.046,222340,4,2014,
1105,Crocodile,Uma,0.903,0.261,5,-9.152,0,0.106,0.837,0.0358,0.111,0.328,126.901,221102,4,2022,
1106,Does It Mean I Love U,Friends & I,0.691,0.714,8,-7.568,0,0.0358,0.0309,0.54,0.302,0.242,108.005,150000,4,2021,
1107,Demons,Imagine Dragons,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.269,0.428,89.938,177507,4,2012,
1108,Lemme Just Sunbleach (All Day All Night),Vanilla Beach,0.602,0.279,5,-14.131,0,0.0524,0.909,0.954,0.0942,0.247,178.033,183708,4,2022,
1109,ghost girl,Lil Peep,0.52,0.823,2,-7.069,1,0.0577,0.281,5.90E-06,0.125,0.317,80.035,173947,4,2016,
1110,"Why, Yes My Good Sir",Beat Oven,0.668,0.441,3,-11.824,1,0.0569,0.523,0.918,0.101,0.183,173.991,103448,4,2022,
1111,You Look Pretty,Sid Southside,0.778,0.477,2,-11.519,0,0.0785,0.966,0.94,0.113,0.524,84.993,171275,4,2022,
1112,Start Again,Conrad Sewell,0.553,0.343,10,-9.466,1,0.0407,0.68,3.50E-06,0.122,0.216,66.543,217974,3,2015,
1113,This Is Gospel,Panic! At The Disco,0.572,0.912,7,-4.875,1,0.0707,0.00155,1.20E-06,0.102,0.606,156.073,187187,4,2013,
1114,Free Again,Arima Ederra,0.601,0.635,4,-10.057,1,0.0718,0.378,0.00113,0.0728,0.689,170.924,159651,5,2018,
1115,Starlight,Muse,0.55,0.874,4,-4.046,1,0.0321,0.000436,1.02E-05,0.206,0.318,121.61,240213,4,2006,
1116,Easy Lover,Philip Bailey,0.749,0.699,1,-13.108,1,0.0371,0.0674,0.00192,0.0763,0.935,128.904,304507,4,1985,
1117,Twilight,GRAVECHILL,0.889,0.884,4,-4.323,1,0.0379,0.0111,0.804,0.0999,0.789,124.003,116129,4,2021,
1118,Pretty Boy (feat. Lil Yachty),Joji,0.656,0.776,6,-6.184,1,0.0672,0.16,0.378,0.372,0.638,156.049,156759,4,2020,chill
1119,I Miss the Misery,Halestorm,0.469,0.969,0,-2.219,1,0.0589,0.009,1.11E-05,0.346,0.476,164.042,183507,4,2012,
1120,Grace Kelly,MIKA,0.675,0.828,0,-5.799,1,0.0454,0.0242,0.0102,0.364,0.669,122.229,187733,4,2006,
1121,"if you need to, keep time on me",Various Artists,0.22,0.0879,11,-19.441,1,0.0434,0.942,0.279,0.0761,0.143,164.578,212700,3,2022,
1122,Painkillers,Rainbow Kitten Surprise,0.754,0.405,7,-11.547,1,0.0378,0.466,0.00179,0.1,0.0843,114.938,213973,4,2018,sad
1123,Lucky (feat. Noa Kirel),Jubël,0.746,0.738,1,-6.35,0,0.0354,0.0899,6.25E-05,0.103,0.803,120.079,142039,4,2022,happy
1124,Outnumbered,Dermot Kennedy,0.614,0.684,0,-5.79,1,0.157,0.247,0,0.0976,0.258,156.85,245700,4,2019,
1125,Like Nobody,pompeii,0.734,0.487,10,-13.865,0,0.178,0.736,0.944,0.151,0.538,105.017,170750,4,2022,
1126,When You Die,MGMT,0.645,0.938,11,-4.557,0,0.0391,0.0946,0.0226,0.159,0.495,140.886,263880,4,2018,
1127,Without You,Piece Wise,0.601,0.47,5,-15.025,1,0.0595,0.698,0.163,0.106,0.0645,104.979,173262,4,2020,chill
1128,Time Moves Slower (With You),Tigerpalm*Bay,0.809,0.283,5,-11.931,0,0.0888,0.958,0.88,0.72,0.201,79.081,164810,4,2022,
1129,"Don't Leave, Don't Go",Deyaz,0.683,0.138,7,-11.778,1,0.0478,0.968,3.79E-06,0.105,0.264,99.028,184242,4,2022,
1130,Fashion Week (feat. AJ Tracey & MoStack),Steel Banglez,0.694,0.757,11,-6.899,0,0.167,0.272,0.000161,0.0995,0.703,97.167,201999,4,2019,
1131,Selective Bad Boys (feat. Dappy),Abra Cadabra,0.497,0.722,1,-6.585,1,0.289,0.2,0,0.108,0.475,143.694,230075,4,2020,
1132,No Friend,BLVTH,0.633,0.582,4,-6.699,0,0.115,0.0765,0,0.137,0.16,164.958,154005,4,2020,
1133,Drive,Natalie Carr,0.643,0.417,1,-6.699,1,0.0321,0.49,0,0.164,0.057,83.104,199518,4,2022,
1134,we're not kids anymore,Cat Burns,0.816,0.213,6,-12.952,0,0.0529,0.912,4.02E-06,0.0916,0.323,121.916,182958,4,2022,
1135,Cheer Up London,Slaves,0.627,0.861,1,-1.856,1,0.0509,0.000564,0,0.0312,0.623,122.133,153267,4,2015,angry
1136,Back It Up,Caro Emerald,0.905,0.789,0,-6.104,1,0.14,0.189,0.0129,0.123,0.714,107.971,232813,4,2010,
1137,BLOODMONEY,Poppy,0.446,0.894,11,-5.525,1,0.429,0.0676,0.000174,0.1,0.156,86.177,182599,4,2020,angry
1138,Far Far Away,Los Piratas Azul,0.699,0.154,10,-14.583,0,0.037,0.697,0.887,0.134,0.136,77.904,111546,4,2022,
1139,Scoop Up,JoJo Mojo,0.713,0.402,9,-10.599,0,0.0818,0.363,0.438,0.155,0.241,87.994,158011,4,2022,
1140,Misery Business,Paramore,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26E-06,0.113,0.731,172.977,211520,4,2007,angry
1141,Playing Games (with Bryson Tiller) - Extended Version,Summer Walker,0.726,0.408,11,-6.606,0,0.0614,0.603,0,0.225,0.459,115.918,143227,4,2019,
1142,Someone Like You,Adele,0.559,0.33,9,-8.251,1,0.0285,0.892,0,0.0975,0.285,135.109,285040,4,2011,
1143,Demons,Imagine Dragons,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.269,0.428,89.938,177507,4,2012,
1144,Fucking Your Culture,$uicideboy$,0.752,0.807,11,-4.386,1,0.172,0.0146,0.000376,0.8,0.442,87.507,195994,4,2022,
1145,Sidelines,Amphitryon,0.505,0.392,5,-13.946,1,0.0755,0.122,0.000929,0.125,0.344,100.055,204000,4,2023,chill
1146,Time,Mikky Ekko,0.477,0.28,6,-11.747,1,0.0317,0.264,0,0.112,0.149,122.363,254293,3,2015,sad
1147,Berserk,S3RL,0.53,0.993,9,-1.926,1,0.419,0.000142,0.222,0.0712,0.201,97.53,162462,3,2018,
1148,headrest,haki donzo,0.505,0.0959,6,-24.915,0,0.0363,0.973,0.947,0.0743,0.0458,86.955,142278,3,2022,
1149,Big Girl (You Are Beautiful),MIKA,0.797,0.75,11,-6.324,1,0.0773,0.0384,0,0.232,0.808,116.005,248000,4,2006,happy
1150,Trust Nobody,Elijah Gonzales,0.884,0.186,11,-18.527,1,0.0679,0.801,0.179,0.103,0.74,103.907,166217,4,2018,
1151,glossy window,7th Indigo,0.702,0.178,0,-11.559,1,0.0449,0.923,0.92,0.111,0.204,67,130746,4,2022,
1152,Bags,Clairo,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,260520,4,2019,sad
1153,Voices in My Head,Rammor,0.703,0.677,9,-6.589,0,0.0353,0.117,1.13E-06,0.211,0.545,121.992,145400,4,2022,
1154,Where’s My Love - Alternate Version,SYML,0.382,0.219,0,-11.805,0,0.0318,0.904,0.0196,0.108,0.161,103.768,248333,4,2016,
1155,I'm Gone,Andon,0.32,0.207,9,-12.127,0,0.0384,0.821,0,0.0925,0.299,138.016,264490,4,2023,
1156,Gasoline - Intro,Alpine,0.621,0.608,10,-3.697,1,0.0285,0.0766,0,0.338,0.732,85.982,203933,4,2012,
1157,I Should Be Alone Right Now,Refs,0.431,0.296,8,-9.113,1,0.0637,0.419,0,0.0923,0.127,89.791,220655,4,2022,chill
1158,Teenage Minds,Jubël,0.755,0.606,2,-6.435,0,0.0313,0.548,0,0.128,0.617,101.003,187712,4,2019,
1159,Lovin' Every Minute,AREA21,0.721,0.56,1,-7.328,0,0.0811,0.158,2.37E-06,0.124,0.647,129.963,162577,4,2021,
1160,lichi,tres islas,0.356,0.125,0,-17.36,1,0.0302,0.439,0.881,0.116,0.36,79.14,165926,4,2022,
1161,fallen alien,FKA twigs,0.581,0.674,9,-7.734,0,0.0498,0.353,0.000126,0.303,0.214,139.944,238960,4,2019,
1162,Cry,Cigarettes After Sex,0.406,0.399,7,-10.449,1,0.0278,0.756,0.678,0.112,0.163,142.83,256800,4,2019,
1163,DNA.,Kendrick Lamar,0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,185947,4,2017,
1164,Call My Name,JP Cooper,0.628,0.755,2,-6.442,1,0.0547,0.0867,0,0.302,0.383,98.978,221748,4,2021,
1165,Stay Awake,Don Diablo,0.658,0.726,0,-6.26,1,0.0486,0.00557,4.18E-05,0.273,0.354,99.994,161401,4,2021,
1166,warm & orange,AUIIRA,0.938,0.336,1,-12.318,0,0.317,0.703,0.816,0.172,0.896,140.089,186000,4,2023,
1167,Slide (feat. Frank Ocean & Migos),Calvin Harris,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21E-06,0.254,0.511,104.066,230813,4,2017,happy
1168,Car Radio,Twenty One Pilots,0.766,0.519,9,-7.355,0,0.0366,0.098,0,0.0855,0.612,129.972,267720,4,2013,
1169,Love Story,Taylor Swift,0.617,0.741,2,-3.97,1,0.0311,0.131,0,0.0772,0.306,118.984,236267,4,2008,sad
1170,Freedom,Kygo,0.715,0.635,7,-6.591,1,0.0791,0.127,0,0.0862,0.39,112.887,198635,4,2020,happy
1171,Who's In Your Head,Jonas Brothers,0.704,0.778,5,-5.331,1,0.0971,0.00447,0,0.0731,0.821,101.025,183537,4,2021,
1172,Sweet Talker,Years & Years,0.429,0.905,10,-2.93,1,0.0512,0.228,0,0.0714,0.659,121.025,176930,4,2021,
1173,Change (In the House of Flies),Various Artists,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,299533,4,2002,angry
1174,Losing Game (feat. ALY),Faustix,0.665,0.834,9,-5.641,0,0.0527,0.167,6.43E-05,0.126,0.553,100.036,158233,4,2022,happy
1175,C’est la vie,Khaled,0.623,0.915,3,-5.349,1,0.0413,0.0167,0,0.361,0.838,129.961,230147,4,2012,
1176,The Other Woman,Lana Del Rey,0.255,0.468,7,-6.43,0,0.0317,0.822,0.248,0.339,0.175,111.67,181960,4,2014,
1177,S.Y.K.,Merlyn Wood,0.756,0.763,5,-3.988,1,0.142,0.00305,0,0.21,0.53,149.994,169600,4,2021,
1178,Goodbye,Mimi Webb,0.5,0.373,0,-6.191,1,0.0335,0.602,0,0.137,0.158,118.943,184167,4,2022,
1179,Adidas,Russian Village Boys,0.651,0.92,10,-3.423,0,0.0455,0.00184,0.00462,0.0824,0.379,165.072,110549,4,2019,
1180,Frozen Lake,Wilczynski,0.62,0.32,1,-10.974,1,0.057,0.771,0.867,0.123,0.352,83.032,148000,4,2022,
1181,Restless,Moodster,0.861,0.333,5,-9.36,0,0.0786,0.529,0.611,0.0933,0.349,74.999,115200,4,2021,chill
1182,Devil Eyes,ZODIVK,0.73,0.757,2,-7.379,1,0.0989,0.00189,0.833,0.157,0.259,102.378,136652,4,2022,
1183,Quite Miss Home,James Arthur,0.58,0.428,10,-6.398,1,0.0288,0.608,2.56E-06,0.117,0.147,136.835,243187,4,2019,sad
1184,Coastline,LU2VYK,0.698,0.666,0,-10.01,0,0.0407,0.722,0.195,0.146,0.443,111.963,178198,4,2022,chill
1185,Dear EX,Jay Laden,0.574,0.181,9,-12.594,0,0.0423,0.763,0,0.0671,0.475,149.758,205750,4,2019,
1186,BETTER OFF DEAD,jxdn,0.684,0.672,10,-5.762,0,0.0341,0.151,0,0.116,0.381,93.965,155674,4,2020,
1187,Heartbeat Song,Kelly Clarkson,0.491,0.799,6,-3.66,1,0.0488,0.0137,0,0.0627,0.486,149.095,198733,4,2016,
1188,High Hopes,Kodaline,0.488,0.487,4,-6.371,1,0.0305,0.577,0,0.193,0.219,77.278,230267,4,2013,sad
1189,Kick Doe Click,That Mexican OT,0.881,0.66,7,-7.336,1,0.183,0.696,0.00496,0.359,0.768,113.633,152262,4,2022,
1190,Breed,Nirvana,0.262,0.969,4,-4.675,1,0.0894,3.69E-06,0.00213,0.133,0.263,158.433,184040,4,1991,
1191,I Just Called,NEIKED,0.626,0.849,7,-3.662,1,0.123,0.0732,0,0.593,0.898,138.997,150560,4,2022,
1192,Money In The Grave (Drake ft. Rick Ross),Drake,0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,205427,4,2019,
1193,morning daze,kimikai,0.606,0.382,4,-8.391,0,0.0455,0.756,0.876,0.0994,0.412,150.094,144000,4,2023,
1194,grayout,thrown,0.41,0.985,10,-2.189,0,0.136,2.01E-05,0.00671,0.226,0.373,80.351,120155,4,2021,
1195,It's Ok - Acoustic,Tom Rosenthal,0.616,0.0663,8,-12.73,0,0.0386,0.985,0.00408,0.101,0.18,148.044,191351,4,2013,
1196,Nowhere But Up,Phony Ppl,0.788,0.798,11,-4.392,0,0.0549,0.00416,0.016,0.0713,0.523,113.98,235888,4,2022,
